"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/31/2024","AQS","020900034","1","8.9","ppb","11","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/01/2024","AQS","020900034","1","10.8","ppb","14","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/02/2024","AQS","020900034","1","10.1","ppb","14","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/03/2024","AQS","020900034","1","12","ppb","17","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/04/2024","AQS","020900034","1","9.2","ppb","13","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/05/2024","AQS","020900034","1","10.6","ppb","14","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/06/2024","AQS","020900034","1","10","ppb","14","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/07/2024","AQS","020900034","1","10","ppb","14","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/08/2024","AQS","020900034","1","10.9","ppb","14","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/09/2024","AQS","020900034","1","9.6","ppb","13","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/10/2024","AQS","020900034","1","8.3","ppb","11","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/11/2024","AQS","020900034","1","7.3","ppb","10","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/12/2024","AQS","020900034","1","8.6","ppb","11","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/13/2024","AQS","020900034","1","5.1","ppb","7","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/14/2024","AQS","020900034","1","6.4","ppb","9","NCORE","21","88.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/15/2024","AQS","020900034","1","8.9","ppb","11","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/16/2024","AQS","020900034","1","8.4","ppb","11","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/17/2024","AQS","020900034","1","9.1","ppb","13","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/18/2024","AQS","020900034","1","11.1","ppb","16","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/19/2024","AQS","020900034","1","10.7","ppb","14","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/20/2024","AQS","020900034","1","8.1","ppb","11","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/21/2024","AQS","020900034","1","4.2","ppb","6","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/22/2024","AQS","020900034","1","4.1","ppb","6","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/23/2024","AQS","020900034","1","5.1","ppb","7","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/24/2024","AQS","020900034","1","5.5","ppb","7","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/25/2024","AQS","020900034","1","4.5","ppb","6","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/26/2024","AQS","020900034","1","4.1","ppb","6","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/27/2024","AQS","020900034","1","5.1","ppb","7","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/28/2024","AQS","020900034","1","7.4","ppb","10","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"02/29/2024","AQS","020900034","1","7.9","ppb","10","NCORE","23","96.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/01/2024","AQS","020900034","1","8.1","ppb","11","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
"03/02/2024","AQS","020900034","1","10","ppb","14","NCORE","24","100.0000","42401","Sulfur dioxide","560","21820","Fairbanks, AK","02","Alaska","090","Fairbanks North Star","64.84569","-147.727413"
