"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/03/2023","AQS","020130002","1","0.5","ug/m3 LC","3","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/06/2023","AQS","020130002","1","0.4","ug/m3 LC","2","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/09/2023","AQS","020130002","1","1.1","ug/m3 LC","6","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/12/2023","AQS","020130002","1","0.5","ug/m3 LC","3","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/15/2023","AQS","020130002","1","0.6","ug/m3 LC","3","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/18/2023","AQS","020130002","1","1.5","ug/m3 LC","8","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/21/2023","AQS","020130002","1","3.1","ug/m3 LC","17","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/24/2023","AQS","020130002","1","3","ug/m3 LC","17","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/27/2023","AQS","020130002","1","0.7","ug/m3 LC","4","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"01/30/2023","AQS","020130002","1","3.2","ug/m3 LC","18","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/02/2023","AQS","020130002","1","2.3","ug/m3 LC","13","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/05/2023","AQS","020130002","1","2.1","ug/m3 LC","12","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/08/2023","AQS","020130002","1","1.1","ug/m3 LC","6","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/11/2023","AQS","020130002","1","1.1","ug/m3 LC","6","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/14/2023","AQS","020130002","1","4.8","ug/m3 LC","27","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/17/2023","AQS","020130002","1","6.1","ug/m3 LC","34","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/20/2023","AQS","020130002","1","6.3","ug/m3 LC","35","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/23/2023","AQS","020130002","1","5.5","ug/m3 LC","31","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"02/26/2023","AQS","020130002","1","3.2","ug/m3 LC","18","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/01/2023","AQS","020130002","1","4.4","ug/m3 LC","24","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/04/2023","AQS","020130002","1","2.7","ug/m3 LC","15","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/07/2023","AQS","020130002","1","1","ug/m3 LC","6","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/10/2023","AQS","020130002","1","3.5","ug/m3 LC","19","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/13/2023","AQS","020130002","1","3.4","ug/m3 LC","19","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/16/2023","AQS","020130002","1","2.1","ug/m3 LC","12","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/19/2023","AQS","020130002","1","2.4","ug/m3 LC","13","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/22/2023","AQS","020130002","1","4.2","ug/m3 LC","23","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/25/2023","AQS","020130002","1","4.6","ug/m3 LC","26","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/28/2023","AQS","020130002","1","3.1","ug/m3 LC","17","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"03/31/2023","AQS","020130002","1","2.6","ug/m3 LC","14","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/03/2023","AQS","020130002","1","0.8","ug/m3 LC","4","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/06/2023","AQS","020130002","1","2.6","ug/m3 LC","14","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/09/2023","AQS","020130002","1","1.7","ug/m3 LC","9","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/12/2023","AQS","020130002","1","7.5","ug/m3 LC","42","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/15/2023","AQS","020130002","1","2.4","ug/m3 LC","13","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/18/2023","AQS","020130002","1","3.3","ug/m3 LC","18","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/21/2023","AQS","020130002","1","3.2","ug/m3 LC","18","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/24/2023","AQS","020130002","1","2.8","ug/m3 LC","16","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/27/2023","AQS","020130002","1","1.6","ug/m3 LC","9","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
"04/30/2023","AQS","020130002","1","6.9","ug/m3 LC","38","","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","02","Alaska","013","Aleutians East","55.3246748140506","-160.508331142788"
